rate_date,from_currency,to_currency,rate,provider,is_estimated
2025-01-01,GBP,GBP,1.000000,DEMO,1
2025-01-01,EUR,GBP,0.835000,DEMO,1
2025-01-01,USD,GBP,0.782500,DEMO,1
2025-01-01,XOF,GBP,0.001280,DEMO,1
2025-02-01,GBP,GBP,1.000000,DEMO,1
2025-02-01,EUR,GBP,0.836000,DEMO,1
2025-02-01,USD,GBP,0.784000,DEMO,1
2025-02-01,XOF,GBP,0.001280,DEMO,1
2025-03-01,GBP,GBP,1.000000,DEMO,1
2025-03-01,EUR,GBP,0.837000,DEMO,1
2025-03-01,USD,GBP,0.785500,DEMO,1
2025-03-01,XOF,GBP,0.001280,DEMO,1
2025-04-01,GBP,GBP,1.000000,DEMO,1
2025-04-01,EUR,GBP,0.838000,DEMO,1
2025-04-01,USD,GBP,0.787000,DEMO,1
2025-04-01,XOF,GBP,0.001280,DEMO,1
2025-05-01,GBP,GBP,1.000000,DEMO,1
2025-05-01,EUR,GBP,0.839000,DEMO,1
2025-05-01,USD,GBP,0.788500,DEMO,1
2025-05-01,XOF,GBP,0.001280,DEMO,1
2025-06-01,GBP,GBP,1.000000,DEMO,1
2025-06-01,EUR,GBP,0.840000,DEMO,1
2025-06-01,USD,GBP,0.790000,DEMO,1
2025-06-01,XOF,GBP,0.001280,DEMO,1
2025-07-01,GBP,GBP,1.000000,DEMO,1
2025-07-01,EUR,GBP,0.841000,DEMO,1
2025-07-01,USD,GBP,0.791500,DEMO,1
2025-07-01,XOF,GBP,0.001280,DEMO,1
2025-08-01,GBP,GBP,1.000000,DEMO,1
2025-08-01,EUR,GBP,0.842000,DEMO,1
2025-08-01,USD,GBP,0.793000,DEMO,1
2025-08-01,XOF,GBP,0.001280,DEMO,1
2025-09-01,GBP,GBP,1.000000,DEMO,1
2025-09-01,EUR,GBP,0.843000,DEMO,1
2025-09-01,USD,GBP,0.794500,DEMO,1
2025-09-01,XOF,GBP,0.001280,DEMO,1
2025-10-01,GBP,GBP,1.000000,DEMO,1
2025-10-01,EUR,GBP,0.844000,DEMO,1
2025-10-01,USD,GBP,0.796000,DEMO,1
2025-10-01,XOF,GBP,0.001280,DEMO,1
2025-11-01,GBP,GBP,1.000000,DEMO,1
2025-11-01,EUR,GBP,0.845000,DEMO,1
2025-11-01,USD,GBP,0.797500,DEMO,1
2025-11-01,XOF,GBP,0.001280,DEMO,1
2025-12-01,GBP,GBP,1.000000,DEMO,1
2025-12-01,EUR,GBP,0.846000,DEMO,1
2025-12-01,USD,GBP,0.799000,DEMO,1
2025-12-01,XOF,GBP,0.001280,DEMO,1
