source_account,label_fr,label_en
Redevance accès nautique,Redevance accès nautique,Nautical access fee
Redevance de pilotage,Redevance de pilotage,Pilotage fee
Redevance de remorquage,Redevance de remorquage,Towage fee
Redevance de lamanage,Redevance de lamanage,Mooring fee
Redevance domaniale,Redevance domaniale,Port estate fee
Redevance accès portuaire,Redevance accès portuaire,Port access fee
Produits accessoires,Produits accessoires,Ancillary revenue
Redevance sûreté portuaire,Redevance sûreté portuaire,Port security fee
Cession eau et électricité,Cession eau et électricité,Water and electricity sold
Redevance pont bascule,Redevance pont bascule,Weighbridge fee
