source_subfamily,label_fr,label_en
Salaires du personnel permanent,Salaires du personnel permanent,Permanent staff salaries
Charges sociales,Charges sociales,Social security contributions
Primes et indemnités,Primes et indemnités,Bonuses and allowances
Consommables de bureau,Consommables de bureau,Office consumables
Pièces détachées,Pièces détachées,Spare parts
Carburants et lubrifiants,Carburants et lubrifiants,Fuel and lubricants
Entretien des infrastructures portuaires,Entretien des infrastructures portuaires,Port infrastructure maintenance
Entretien du matériel naval,Entretien du matériel naval,Marine equipment maintenance
Entretien des bâtiments,Entretien des bâtiments,Building maintenance
Électricité,Électricité,Electricity
Eau,Eau,Water
Autres énergies,Autres énergies,Other energy sources
Sous-traitance générale,Sous-traitance générale,General subcontracting
Honoraires et conseils,Honoraires et conseils,Professional and advisory fees
Assurances,Assurances,Insurance
Transport du personnel,Transport du personnel,Staff transport
Missions et déplacements,Missions et déplacements,Business travel
Amortissements des immobilisations,Amortissements des immobilisations,Depreciation of fixed assets
Intérêts sur emprunts,Intérêts sur emprunts,Interest on borrowings
Impôts et taxes directs,Impôts et taxes directs,Direct taxes and duties
Pénalités et amendes,Pénalités et amendes,Penalties and fines
