ANNEE,CODE_CC,CATEGORIE,PRODUIT_FINI,MONTANT
2020,2030,Marchandises,PF-Acces Nautique,-3463037358.0
2020,2040,Services Maritimes,PF-Pilotage,-899334673.0
2020,2050,Services Maritimes,PF-Remorquage,-883759636.0
2020,2010,Services Maritimes,PF-Lamenage,-395150284.0
2020,2050,Domaines,PF-Expl Domaniale Port,-934053849.0
2020,2010,Autres Services,PF-Acces Portuaire,-221063489.0
2020,2050,Autres Services,PF-Autres,-185449887.0
2020,2030,Autres Services,PF-ISPS,-224447334.0
2020,2030,Autres Services,PF-Livraisons d'eau & électric,-194950162.0
2020,2040,Autres Services,PF-Pont Bascule,-148552024.0
2021,2030,Marchandises,PF-Acces Nautique,-3373530443.0
2021,2040,Services Maritimes,PF-Pilotage,-1027230085.0
2021,2050,Services Maritimes,PF-Remorquage,-978909996.0
2021,2010,Services Maritimes,PF-Lamenage,-407855213.0
2021,2050,Domaines,PF-Expl Domaniale Port,-945834201.0
2021,2010,Autres Services,PF-Acces Portuaire,-227445678.0
2021,2050,Autres Services,PF-Autres,-179771002.0
2021,2030,Autres Services,PF-ISPS,-257671685.0
2021,2030,Autres Services,PF-Livraisons d'eau & électric,-203644609.0
2021,2040,Autres Services,PF-Pont Bascule,-158745557.0
2022,2030,Marchandises,PF-Acces Nautique,-3858701351.0
2022,2040,Services Maritimes,PF-Pilotage,-1115473988.0
2022,2050,Services Maritimes,PF-Remorquage,-964911191.0
2022,2010,Services Maritimes,PF-Lamenage,-433182093.0
2022,2050,Domaines,PF-Expl Domaniale Port,-961610485.0
2022,2010,Autres Services,PF-Acces Portuaire,-242062200.0
2022,2050,Autres Services,PF-Autres,-191417939.0
2022,2030,Autres Services,PF-ISPS,-265692781.0
2022,2030,Autres Services,PF-Livraisons d'eau & électric,-224369970.0
2022,2040,Autres Services,PF-Pont Bascule,-168706104.0
2023,2030,Marchandises,PF-Acces Nautique,-3998668711.0
2023,2040,Services Maritimes,PF-Pilotage,-1080250777.0
2023,2050,Services Maritimes,PF-Remorquage,-1089672849.0
2023,2010,Services Maritimes,PF-Lamenage,-486539274.0
2023,2050,Domaines,PF-Expl Domaniale Port,-1071331297.0
2023,2010,Autres Services,PF-Acces Portuaire,-241881401.0
2023,2050,Autres Services,PF-Autres,-197276424.0
2023,2030,Autres Services,PF-ISPS,-257314266.0
2023,2030,Autres Services,PF-Livraisons d'eau & électric,-220443467.0
2023,2040,Autres Services,PF-Pont Bascule,-181382321.0
2024,2030,Marchandises,PF-Acces Nautique,-3995030444.0
2024,2040,Services Maritimes,PF-Pilotage,-1168788246.0
2024,2050,Services Maritimes,PF-Remorquage,-1149861488.0
2024,2010,Services Maritimes,PF-Lamenage,-484388638.0
2024,2050,Domaines,PF-Expl Domaniale Port,-1118058272.0
2024,2010,Autres Services,PF-Acces Portuaire,-246550970.0
2024,2050,Autres Services,PF-Autres,-217399046.0
2024,2030,Autres Services,PF-ISPS,-287710365.0
2024,2030,Autres Services,PF-Livraisons d'eau & électric,-224871345.0
2024,2040,Autres Services,PF-Pont Bascule,-195099564.0
2025,2030,Marchandises,PF-Acces Nautique,-4281666086.0
2025,2040,Services Maritimes,PF-Pilotage,-1127817336.0
2025,2050,Services Maritimes,PF-Remorquage,-1076364243.0
2025,2010,Services Maritimes,PF-Lamenage,-478390459.0
2025,2050,Domaines,PF-Expl Domaniale Port,-1053358965.0
2025,2010,Autres Services,PF-Acces Portuaire,-265398095.0
2025,2050,Autres Services,PF-Autres,-220900409.0
2025,2030,Autres Services,PF-ISPS,-283959504.0
2025,2030,Autres Services,PF-Livraisons d'eau & électric,-234891708.0
2025,2040,Autres Services,PF-Pont Bascule,-198992236.0
2026,2030,Marchandises,PF-Acces Nautique,-4456984775.0
2026,2040,Services Maritimes,PF-Pilotage,-1141858833.0
2026,2050,Services Maritimes,PF-Remorquage,-1184271641.0
2026,2010,Services Maritimes,PF-Lamenage,-530469660.0
2026,2050,Domaines,PF-Expl Domaniale Port,-1193480665.0
2026,2010,Autres Services,PF-Acces Portuaire,-270451180.0
2026,2050,Autres Services,PF-Autres,-228751896.0
2026,2030,Autres Services,PF-ISPS,-310640186.0
2026,2030,Autres Services,PF-Livraisons d'eau & électric,-263654963.0
2026,2040,Autres Services,PF-Pont Bascule,-199306134.0
