ANNEE,CATEGORIE,PRODUIT_FINI,MONTANT
2020,Marchandises,PF-Acces Nautique,-2507716707.0
2020,Services Maritimes,PF-Pilotage,-651242349.0
2020,Services Maritimes,PF-Remorquage,-639963874.0
2020,Services Maritimes,PF-Lamenage,-286143309.0
2020,Domaines,PF-Expl Domaniale Port,-676383822.0
2020,Autres Services,PF-Acces Portuaire,-160080457.0
2020,Autres Services,PF-Autres,-134291298.0
2020,Autres Services,PF-ISPS,-162530828.0
2020,Autres Services,PF-Livraisons d'eau & électric,-141170807.0
2020,Autres Services,PF-Pont Bascule,-107572155.0
2021,Marchandises,PF-Acces Nautique,-2442901355.0
2021,Services Maritimes,PF-Pilotage,-743856269.0
2021,Services Maritimes,PF-Remorquage,-708865859.0
2021,Services Maritimes,PF-Lamenage,-295343430.0
2021,Domaines,PF-Expl Domaniale Port,-684914422.0
2021,Autres Services,PF-Acces Portuaire,-164702043.0
2021,Autres Services,PF-Autres,-130179001.0
2021,Autres Services,PF-ISPS,-186589841.0
2021,Autres Services,PF-Livraisons d'eau & électric,-147466786.0
2021,Autres Services,PF-Pont Bascule,-114953679.0
2022,Marchandises,PF-Acces Nautique,-2794232013.0
2022,Services Maritimes,PF-Pilotage,-807757026.0
2022,Services Maritimes,PF-Remorquage,-698728794.0
2022,Services Maritimes,PF-Lamenage,-313683585.0
2022,Domaines,PF-Expl Domaniale Port,-696338627.0
2022,Autres Services,PF-Acces Portuaire,-175286421.0
2022,Autres Services,PF-Autres,-138612991.0
2022,Autres Services,PF-ISPS,-192398221.0
2022,Autres Services,PF-Livraisons d'eau & électric,-162474806.0
2022,Autres Services,PF-Pont Bascule,-122166489.0
2023,Marchandises,PF-Acces Nautique,-2895587687.0
2023,Services Maritimes,PF-Pilotage,-782250563.0
2023,Services Maritimes,PF-Remorquage,-789073443.0
2023,Services Maritimes,PF-Lamenage,-352321543.0
2023,Domaines,PF-Expl Domaniale Port,-775791629.0
2023,Autres Services,PF-Acces Portuaire,-175155498.0
2023,Autres Services,PF-Autres,-142855341.0
2023,Autres Services,PF-ISPS,-186331020.0
2023,Autres Services,PF-Livraisons d'eau & électric,-159631476.0
2023,Autres Services,PF-Pont Bascule,-131345819.0
2024,Marchandises,PF-Acces Nautique,-2892953080.0
2024,Services Maritimes,PF-Pilotage,-846363902.0
2024,Services Maritimes,PF-Remorquage,-832658319.0
2024,Services Maritimes,PF-Lamenage,-350764186.0
2024,Domaines,PF-Expl Domaniale Port,-809628404.0
2024,Autres Services,PF-Acces Portuaire,-178536910.0
2024,Autres Services,PF-Autres,-157426895.0
2024,Autres Services,PF-ISPS,-208341989.0
2024,Autres Services,PF-Livraisons d'eau & électric,-162837871.0
2024,Autres Services,PF-Pont Bascule,-141278995.0
2025,Marchandises,PF-Acces Nautique,-3100516821.0
2025,Services Maritimes,PF-Pilotage,-816695313.0
2025,Services Maritimes,PF-Remorquage,-779436176.0
2025,Services Maritimes,PF-Lamenage,-346420677.0
2025,Domaines,PF-Expl Domaniale Port,-762777182.0
2025,Autres Services,PF-Acces Portuaire,-192184827.0
2025,Autres Services,PF-Autres,-159962365.0
2025,Autres Services,PF-ISPS,-205625848.0
2025,Autres Services,PF-Livraisons d'eau & électric,-170093995.0
2025,Autres Services,PF-Pont Bascule,-144097826.0
2026,Marchandises,PF-Acces Nautique,-3227471734.0
2026,Services Maritimes,PF-Pilotage,-826863293.0
2026,Services Maritimes,PF-Remorquage,-857576016.0
2026,Services Maritimes,PF-Lamenage,-384133202.0
2026,Domaines,PF-Expl Domaniale Port,-864244619.0
2026,Autres Services,PF-Acces Portuaire,-195843958.0
2026,Autres Services,PF-Autres,-165647924.0
2026,Autres Services,PF-ISPS,-224946341.0
2026,Autres Services,PF-Livraisons d'eau & électric,-190922559.0
2026,Autres Services,PF-Pont Bascule,-144325131.0
