ANNEE,CODE_CC,DESC_CC,FAMILLE,SOUS_FAMILLE,MONTANT
2020,2010,Port Operations Department,Charges de personnel et social,Salaires du personnel permanent,-292505537.0
2020,2010,Port Operations Department,Charges de personnel et social,Charges sociales,-304728296.0
2020,2010,Port Operations Department,Charges de personnel et social,Primes et indemnités,-284316228.0
2020,2010,Port Operations Department,"Achats, matières et consommables",Consommables de bureau,-69443202.0
2020,2010,Port Operations Department,"Achats, matières et consommables",Pièces détachées,-74021327.0
2020,2010,Port Operations Department,"Achats, matières et consommables",Carburants et lubrifiants,-72956156.0
2020,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien des infrastructures portuaires,-111459956.0
2020,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien du matériel naval,-117449675.0
2020,2010,Port Operations Department,"Maintenance, infrastructures et équipements",Entretien des bâtiments,-121025151.0
2020,2010,Port Operations Department,"Énergie, eau et fluides",Électricité,-67490962.0
2020,2010,Port Operations Department,"Énergie, eau et fluides",Eau,-75604065.0
2020,2010,Port Operations Department,"Énergie, eau et fluides",Autres énergies,-74511115.0
2020,2010,Port Operations Department,Prestations externes et frais,Sous-traitance générale,-70878543.0
2020,2010,Port Operations Department,Prestations externes et frais,Honoraires et conseils,-69003117.0
2020,2010,Port Operations Department,Prestations externes et frais,Assurances,-77140713.0
2020,2010,Port Operations Department,"Transport, déplacements et logistique",Transport du personnel,-42504861.0
2020,2010,Port Operations Department,"Transport, déplacements et logistique",Missions et déplacements,-41019822.0
2020,2010,Port Operations Department,Charges financières et amortissements,Amortissements des immobilisations,-51305003.0
2020,2010,Port Operations Department,Charges financières et amortissements,Intérêts sur emprunts,-57020301.0
2020,2010,Port Operations Department,"Impôts, risques et autres charges",Impôts et taxes directs,-33098769.0
2020,2010,Port Operations Department,"Impôts, risques et autres charges",Pénalités et amendes,-34027808.0
2020,2020,Engineering & Infrastructure Department,Charges de personnel et social,Salaires du personnel permanent,-314293466.0
2020,2020,Engineering & Infrastructure Department,Charges de personnel et social,Charges sociales,-306044404.0
2020,2020,Engineering & Infrastructure Department,Charges de personnel et social,Primes et indemnités,-324668925.0
2020,2020,Engineering & Infrastructure Department,"Achats, matières et consommables",Consommables de bureau,-71267124.0
