ANNEE,CATEGORIE,PRODUIT_FINI,COMPTE,MONTANT
2020,Marchandises,PF-Acces Nautique,Redevance accès nautique,7079535246.0
2020,Services Maritimes,PF-Pilotage,Redevance de pilotage,2130909398.0
2020,Services Maritimes,PF-Remorquage,Redevance de remorquage,1971833245.0
2020,Services Maritimes,PF-Lamenage,Redevance de lamanage,892697511.0
2020,Domaines,PF-Expl Domaniale Port,Redevance domaniale,1865517032.0
2020,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,447897078.0
2020,Autres Services,PF-Autres,Produits accessoires,356780156.0
2020,Autres Services,PF-ISPS,Redevance sûreté portuaire,523944016.0
2020,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,419897663.0
2020,Autres Services,PF-Pont Bascule,Redevance pont bascule,351578018.0
2021,Marchandises,PF-Acces Nautique,Redevance accès nautique,8518725432.0
2021,Services Maritimes,PF-Pilotage,Redevance de pilotage,2197074515.0
2021,Services Maritimes,PF-Remorquage,Redevance de remorquage,2091095716.0
2021,Services Maritimes,PF-Lamenage,Redevance de lamanage,1015344420.0
2021,Domaines,PF-Expl Domaniale Port,Redevance domaniale,2166406808.0
2021,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,511723333.0
2021,Autres Services,PF-Autres,Produits accessoires,433074978.0
2021,Autres Services,PF-ISPS,Redevance sûreté portuaire,536500992.0
2021,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,472316573.0
2021,Autres Services,PF-Pont Bascule,Redevance pont bascule,387348330.0
2022,Marchandises,PF-Acces Nautique,Redevance accès nautique,8823540188.0
2022,Services Maritimes,PF-Pilotage,Redevance de pilotage,2387267567.0
2022,Services Maritimes,PF-Remorquage,Redevance de remorquage,2505324159.0
2022,Services Maritimes,PF-Lamenage,Redevance de lamanage,1129840444.0
2022,Domaines,PF-Expl Domaniale Port,Redevance domaniale,2513173638.0
2022,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,568346729.0
2022,Autres Services,PF-Autres,Produits accessoires,480784924.0
2022,Autres Services,PF-ISPS,Redevance sûreté portuaire,616150343.0
2022,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,506421000.0
2022,Autres Services,PF-Pont Bascule,Redevance pont bascule,430796422.0
2023,Marchandises,PF-Acces Nautique,Redevance accès nautique,9476373547.0
2023,Services Maritimes,PF-Pilotage,Redevance de pilotage,2749727807.0
2023,Services Maritimes,PF-Remorquage,Redevance de remorquage,2469874625.0
2023,Services Maritimes,PF-Lamenage,Redevance de lamanage,1120774172.0
2023,Domaines,PF-Expl Domaniale Port,Redevance domaniale,2514751286.0
2023,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,632263711.0
2023,Autres Services,PF-Autres,Produits accessoires,518839643.0
2023,Autres Services,PF-ISPS,Redevance sûreté portuaire,705783799.0
2023,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,573436353.0
2023,Autres Services,PF-Pont Bascule,Redevance pont bascule,446448077.0
2024,Marchandises,PF-Acces Nautique,Redevance accès nautique,10399487379.0
2024,Services Maritimes,PF-Pilotage,Redevance de pilotage,2786998304.0
2024,Services Maritimes,PF-Remorquage,Redevance de remorquage,2562892232.0
2024,Services Maritimes,PF-Lamenage,Redevance de lamanage,1235534750.0
2024,Domaines,PF-Expl Domaniale Port,Redevance domaniale,2642025614.0
2024,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,679247070.0
2024,Autres Services,PF-Autres,Produits accessoires,516743457.0
2024,Autres Services,PF-ISPS,Redevance sûreté portuaire,694353461.0
2024,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,615670735.0
2024,Autres Services,PF-Pont Bascule,Redevance pont bascule,454709462.0
2025,Marchandises,PF-Acces Nautique,Redevance accès nautique,10415550382.0
2025,Services Maritimes,PF-Pilotage,Redevance de pilotage,3095973003.0
2025,Services Maritimes,PF-Remorquage,Redevance de remorquage,2942851204.0
2025,Services Maritimes,PF-Lamenage,Redevance de lamanage,1339384480.0
2025,Domaines,PF-Expl Domaniale Port,Redevance domaniale,3001010682.0
2025,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,678968962.0
2025,Autres Services,PF-Autres,Produits accessoires,546023245.0
2025,Autres Services,PF-ISPS,Redevance sûreté portuaire,754763995.0
2025,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,633371942.0
2025,Autres Services,PF-Pont Bascule,Redevance pont bascule,478689143.0
2026,Marchandises,PF-Acces Nautique,Redevance accès nautique,10616942600.0
2026,Services Maritimes,PF-Pilotage,Redevance de pilotage,3242761289.0
2026,Services Maritimes,PF-Remorquage,Redevance de remorquage,2842020398.0
2026,Services Maritimes,PF-Lamenage,Redevance de lamanage,1285151009.0
2026,Domaines,PF-Expl Domaniale Port,Redevance domaniale,2818583368.0
2026,Autres Services,PF-Acces Portuaire,Redevance accès portuaire,707379856.0
2026,Autres Services,PF-Autres,Produits accessoires,559744827.0
2026,Autres Services,PF-ISPS,Redevance sûreté portuaire,731978556.0
2026,Autres Services,PF-Livraisons d'eau & électric,Cession eau et électricité,597796277.0
2026,Autres Services,PF-Pont Bascule,Redevance pont bascule,507804496.0
